[Fri May 02 10:43:04 2014] [error] [client 24.36.84.236] File does not exist: /srv/www/stage.liberatedliving.ca/public_html/favicon.ico
[Fri May 02 10:48:13 2014] [error] [client 24.36.84.236] File does not exist: /srv/www/stage.liberatedliving.ca/public_html/favicon.ico
[Fri May 02 10:49:15 2014] [error] [client 24.36.84.236] File does not exist: /srv/www/stage.liberatedliving.ca/public_html/favicon.ico
[Mon May 05 11:51:05 2014] [error] [client 208.87.22.11] File does not exist: /srv/www/stage.liberatedliving.ca
[Mon May 05 11:51:05 2014] [error] [client 208.87.22.11] File does not exist: /srv/www/stage.liberatedliving.ca
[Mon May 05 18:36:19 2014] [error] [client 24.36.84.236] PHP Warning:  mysql_real_escape_string() expects parameter 1 to be string, array given in /srv/www/divine66.com/public_html/wp-includes/wp-db.php on line 1033, referer: http://www.divine66.com/wp-admin/admin.php?page=eme-new_event
[Mon May 05 19:02:27 2014] [error] [client 24.36.84.236] PHP Warning:  mysql_real_escape_string() expects parameter 1 to be string, array given in /srv/www/divine66.com/public_html/wp-includes/wp-db.php on line 1033, referer: http://www.divine66.com/wp-admin/admin.php?page=eme-new_event
[Wed May 07 15:24:09 2014] [error] [client 66.249.70.3] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/testpage2.php on line 60
[Wed May 07 15:24:09 2014] [error] [client 66.249.70.3] PHP Warning:  file_get_contents(): Filename cannot be empty in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/testpage2.php on line 86
[Fri May 09 05:12:34 2014] [error] [client 66.249.76.193] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/testpage2.php on line 60
[Fri May 09 05:12:34 2014] [error] [client 66.249.76.193] PHP Warning:  file_get_contents(): Filename cannot be empty in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/testpage2.php on line 86
[Sat Jun 14 09:05:25 2014] [error] [client 178.154.255.138] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/testpage2.php on line 60
[Sat Jun 14 09:05:25 2014] [error] [client 178.154.255.138] PHP Warning:  file_get_contents(): Filename cannot be empty in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/testpage2.php on line 86
[Mon Jun 16 21:02:56 2014] [error] [client 178.154.255.138] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/testpage2.php on line 60
[Mon Jun 16 21:02:56 2014] [error] [client 178.154.255.138] PHP Warning:  file_get_contents(): Filename cannot be empty in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/testpage2.php on line 86
[Thu Jul 10 12:24:36 2014] [error] [client 180.76.5.78] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/testpage2.php on line 60
[Thu Jul 10 12:24:36 2014] [error] [client 180.76.5.78] PHP Warning:  file_get_contents(): Filename cannot be empty in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/testpage2.php on line 86
[Fri Jul 11 11:58:56 2014] [error] [client 180.76.5.95] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/testpage2.php on line 60
